,Company,TypeName,Inches,Touchscreen,Ips,Cpu_Vender,Cpu_Type,Ram,Storage (GB),Storage Type,Gpu_Vender,Gpu_Type,Weight,OpSys,Price_euros
44,Dell,2 in 1 Convertible,17.3,1,0,Intel,Core i5,12,1024,HDD,Nvidia,GeForce 150MX,2.77,Windows,999.0
45,Apple,Ultrabook,13.3,0,1,Intel,Core i5,8,256,SSD,Intel,Iris Graphics 540,1.37,Mac,1419.0
46,Lenovo,Notebook,15.6,0,0,Intel,Core i3,4,128,SSD,Intel,HD Graphics 520,2.2,Others/No OS/Linux,369.0
47,Asus,Gaming,17.3,0,0,AMD,Ryzen 1700,8,256,SSD +  1TB HDD,AMD,Radeon RX 580,3.2,Windows,1299.0
48,Dell,Notebook,15.6,0,0,Intel,Core i5,4,256,SSD,AMD,Radeon R5 M430,2.3,Windows,639.0
49,Asus,Notebook,17.3,0,0,Intel,I n t e l,4,1024,HDD,Nvidia,GeForce 920MX,2.8,Windows,466.0
50,Lenovo,2 in 1 Convertible,10.1,1,1,Intel,I n t e l,4,64,Flash Storage,Intel,HD Graphics 400,0.69,Others/No OS/Linux,319.0
51,Acer,Notebook,15.6,0,1,Intel,Core i7,8,256,SSD,Nvidia,GeForce MX150,2.2,Windows,841.0
52,HP,Notebook,15.6,0,0,AMD,A6-Series 9220,4,256,SSD,AMD,Radeon R4 Graphics,1.86,Windows,398.49
53,HP,Notebook,13.3,0,0,Intel,Core i7,8,512,SSD,Intel,UHD Graphics 620,1.49,Windows,1103.0
54,Acer,Notebook,15.6,0,0,Intel,Core i3,4,1024,HDD,Intel,HD Graphics 620,2.4,Windows,384.0
55,Dell,Notebook,15.6,0,0,Intel,Core i7,8,256,SSD,AMD,Radeon 520,2.13,Windows,767.8
56,HP,Notebook,15.6,0,0,Intel,Core i3,4,128,SSD,Intel,HD Graphics 520,1.91,Windows,439.0
57,Asus,Notebook,15.6,0,0,Intel,Core i5,4,256,SSD,Intel,HD Graphics 620,2.0,Windows,586.19
58,MSI,Gaming,17.3,0,0,Intel,Core i7,16,256,SSD +  2TB HDD,Nvidia,GeForce GTX 1070,2.43,Windows,2449.0
59,Asus,Notebook,15.6,0,0,Intel,Core i3,4,256,SSD,Intel,HD Graphics 520,2.0,Others/No OS/Linux,415.0
60,Dell,Notebook,17.3,0,0,Intel,Core i7,16,256,SSD +  2TB HDD,AMD,Radeon 530,2.8,Windows,1299.0
61,Dell,Ultrabook,14.0,0,0,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.7,Windows,879.0
62,Lenovo,Notebook,14.0,0,1,Intel,Core i3,8,256,SSD,Intel,HD Graphics 620,1.7,Others/No OS/Linux,599.0
63,Asus,Notebook,14.0,0,0,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.4,Windows,941.0
64,HP,Notebook,15.6,0,0,Intel,Core i5,8,256,SSD,Intel,HD Graphics 620,1.86,Windows,690.0
65,Asus,Ultrabook,15.6,0,0,Intel,Core i7,16,512,SSD,Nvidia,GeForce GTX 1050 Ti,1.8,Windows,1983.0
66,HP,Notebook,15.6,0,0,Intel,Core i3,4,500,HDD,AMD,Radeon 520,1.86,Windows,438.69
67,HP,Notebook,14.0,0,0,Intel,Celeron Dual Core,4,32,SSD,Intel,HD Graphics 400,1.44,Windows,229.0
68,Lenovo,Notebook,15.6,0,0,Intel,Core i5,4,1024,HDD,Intel,HD Graphics 620,1.9,Windows,549.0
69,Asus,Gaming,17.3,0,0,Intel,Core i7,12,1024,HDD,Nvidia,GeForce GTX 1050 Ti,3.0,Others/No OS/Linux,949.0
70,Microsoft,Ultrabook,13.5,1,0,Intel,Core i5,4,128,SSD,Intel,HD Graphics 620,1.252,Windows,1089.0
71,Dell,Ultrabook,13.3,0,1,Intel,Core i7,8,256,SSD,AMD,Radeon 530,1.4,Windows,955.0
72,Dell,Notebook,15.6,0,0,Intel,Core i7,8,256,SSD,AMD,Radeon 530,2.2,Windows,870.0
73,MSI,Gaming,17.3,0,0,Intel,Core i5,8,128,SSD +  1TB HDD,Nvidia,GeForce GTX 1050,2.7,Windows,1095.0
74,Acer,Notebook,14.0,0,0,Intel,Core i3,8,1024,HDD,Intel,HD Graphics 520,2.1,Windows,389.0
75,Asus,Gaming,15.6,0,0,Intel,Core i7,8,1024,HDD,Nvidia,GeForce GTX 1050,2.2,Windows,949.0
76,Lenovo,Notebook,15.6,0,0,Intel,Core i5,8,2048,HDD,Intel,HD Graphics 620,2.2,Others/No OS/Linux,519.0
77,Dell,Notebook,15.6,0,0,Intel,Core i7,8,128,SSD +  1TB HDD,Intel,UHD Graphics 620,2.02,Windows,855.0
78,Acer,Notebook,15.6,0,0,Intel,Core i3,4,1024,HDD,Nvidia,GeForce MX130,2.2,Windows,530.0
79,HP,Notebook,17.3,0,0,Intel,Core i5,8,128,SSD +  1TB HDD,Nvidia,GeForce 930MX,2.5,Windows,977.0
80,Dell,Ultrabook,15.6,0,1,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.88,Windows,1096.16
81,Apple,Ultrabook,12.0,0,1,Intel,Core i5,8,512,SSD,Intel,HD Graphics 615,0.92,Mac,1510.0
82,HP,Notebook,14.0,0,0,Intel,Core i5,8,256,SSD,Intel,HD Graphics 620,1.63,Windows,860.0
83,Lenovo,Notebook,15.6,0,0,AMD,A6-Series 9220,4,128,SSD,AMD,R4 Graphics,2.2,Windows,399.0
84,Acer,Notebook,15.6,0,0,AMD,A9-Series 9420,4,1024,HDD,AMD,Radeon R5,2.1,Windows,395.0
85,Dell,Gaming,15.6,0,1,Intel,Core i7,16,128,SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,2.65,Windows,1349.0
86,HP,Ultrabook,15.6,0,1,Intel,Core i7,8,256,SSD,Nvidia,GeForce GTX 940MX,1.83,Windows,699.0
87,HP,Notebook,15.6,0,0,Intel,Core i5,8,256,SSD,Intel,HD Graphics 620,1.96,Windows,598.99
88,Asus,Gaming,15.6,0,1,Intel,Core i7,16,128,SSD +  1TB HDD,Nvidia,GeForce GTX 1060,2.2,Windows,1449.0
89,Dell,Ultrabook,13.3,0,1,Intel,Core i7,8,256,SSD,Intel,UHD Graphics 620,1.21,Windows,1649.0
90,Asus,Gaming,15.6,0,0,AMD,FX 9830P,8,1024,HDD,AMD,Radeon RX 560,2.45,Windows,699.0
91,Acer,Notebook,15.6,0,0,Intel,Core i7,8,1024,HDD,Nvidia,GeForce MX150,2.2,Windows,689.0
92,HP,Notebook,13.3,0,0,Intel,Core i7,16,512,SSD,Intel,UHD Graphics 620,1.49,Windows,1197.0
93,Dell,Gaming,15.6,0,0,Intel,Core i5,8,256,SSD,Nvidia,GeForce GTX 1060,2.65,Windows,1195.0
94,Asus,Ultrabook,14.0,0,0,Intel,Core i7,8,256,SSD,Intel,HD Graphics 620,1.25,Windows,1049.0
95,Acer,2 in 1 Convertible,13.3,1,1,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.5,Windows,847.0
96,Dell,Notebook,15.6,0,0,Intel,Core i7,8,1024,HDD,AMD,Radeon R5 M430,2.2,Others/No OS/Linux,599.9
97,Dell,Notebook,15.6,0,0,Intel,Core i3,4,256,SSD,AMD,Radeon R5 M430,2.2,Others/No OS/Linux,485.0
98,Asus,Notebook,15.6,0,0,Intel,Core i3,6,256,SSD,Nvidia,GeForce 920M,2.0,Windows,577.0
99,HP,Gaming,15.6,0,1,Intel,Core i7,12,128,SSD +  1TB HDD,Nvidia,GeForce GTX 1050,2.62,Windows,1249.0
100,HP,Notebook,15.6,0,0,Intel,Core i7,8,256,SSD,AMD,Radeon 530,1.91,Windows,719.0
101,HP,Notebook,15.6,0,0,AMD,E-Series E2-9000e,4,500,HDD,AMD,Radeon R2,2.1,Windows,349.0
102,Dell,Notebook,15.6,0,0,Intel,Core i5,8,1024,HDD,AMD,Radeon 520,2.2,Others/No OS/Linux,647.0
103,HP,Ultrabook,13.3,0,1,Intel,Core i7,8,256,SSD,Nvidia,GeForce MX150,1.38,Windows,1119.0
104,Microsoft,Ultrabook,13.5,1,0,Intel,Core i5,8,256,SSD,Intel,HD Graphics 620,1.252,Windows,1340.0
105,HP,Notebook,14.0,0,1,Intel,Core i5,6,256,SSD,Nvidia,GeForce 940MX,1.58,Windows,659.0
106,Lenovo,Notebook,15.6,0,0,Intel,Core i3,4,1024,HDD,Intel,HD Graphics 520,1.85,Windows,414.9
107,Asus,Ultrabook,14.0,0,1,Intel,Core i7,8,256,SSD,Nvidia,GeForce 940MX,1.3,Windows,1193.0
108,MSI,Gaming,15.6,0,0,Intel,Core i7,16,256,SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,2.2,Windows,1299.0
109,Lenovo,Notebook,14.0,0,1,Intel,Core i7,8,256,SSD,Intel,HD Graphics 620,1.58,Windows,1480.0
110,Asus,Ultrabook,15.6,0,0,Intel,Core i7,16,256,SSD +  1TB HDD,Nvidia,GeForce MX150,1.5,Windows,1262.0
111,Dell,Ultrabook,13.3,1,0,Intel,Core i7,8,256,SSD,Intel,Iris Plus Graphics 640,1.23,Windows,1379.0
112,Lenovo,2 in 1 Convertible,13.3,1,1,Intel,Core i5,8,256,SSD,Intel,HD Graphics 620,1.37,Windows,1399.0
113,HP,Notebook,14.0,0,1,Intel,Core i5,4,500,HDD,Intel,UHD Graphics 620,1.63,Windows,722.0
114,Dell,Ultrabook,13.3,0,1,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.21,Windows,1629.0
115,HP,2 in 1 Convertible,13.3,1,1,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.26,Windows,1398.99
116,HP,Notebook,14.0,0,0,Intel,Core i7,8,512,SSD,Intel,UHD Graphics 620,1.63,Windows,1084.0
117,Dell,Notebook,15.6,0,1,Intel,Core i7,8,256,SSD +  1TB HDD,Nvidia,GeForce 940MX,2.16,Windows,1130.33
118,Asus,Notebook,17.3,0,0,Intel,Core i3,4,1024,HDD,Nvidia,GeForce 920MX,2.0,Windows,564.0
119,Asus,Notebook,15.6,0,0,Intel,Core i7,8,256,SSD,Nvidia,GeForce 940MX,1.7,Windows,1118.0
120,Acer,Notebook,15.6,1,1,Intel,Core i3,6,1024,HDD,Intel,HD Graphics 620,2.1,Windows,479.0
121,MSI,Gaming,15.6,0,0,Intel,Core i7,16,256,SSD +  2TB HDD,Nvidia,GeForce GTX 1070,1.8,Windows,2241.5
122,Lenovo,Notebook,15.6,0,0,Intel,Core i5,8,256,SSD,Nvidia,GeForce 940MX,2.2,Others/No OS/Linux,629.0
123,HP,Notebook,17.3,0,0,Intel,Core i7,16,512,SSD,Nvidia,GeForce 930MX ,2.5,Windows,1271.0
124,Acer,Notebook,15.6,0,0,AMD,A9-Series 9420,4,256,SSD,AMD,Radeon R5,2.1,Windows,451.0
125,HP,Notebook,15.6,0,0,Intel,Celeron Dual Core,4,500,HDD,Intel,HD Graphics 400,1.86,Others/No OS/Linux,259.0
126,HP,Notebook,14.0,0,0,Intel,Core i5,8,1024,HDD,Intel,UHD Graphics 620,1.63,Windows,812.0
127,Asus,Notebook,14.0,0,0,AMD,E-Series 6110,4,64,SSD,AMD,Radeon R2,1.65,Windows,277.99
128,Dell,Notebook,17.3,0,0,Intel,Core i7,16,256,SSD +  2TB HDD,AMD,Radeon 530,2.8,Windows,1396.0
129,HP,Notebook,17.3,0,0,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,2.5,Windows,928.0
130,Dell,Notebook,15.6,0,0,Intel,Core i5,8,1024,HDD,AMD,Radeon R7 M445,2.36,Windows,638.99
131,Dell,Notebook,15.6,0,0,Intel,Core i3,4,1024,HDD,AMD,Radeon R5 M430,2.2,Windows,449.0
132,Acer,Ultrabook,14.0,0,1,Intel,Core i7,8,256,SSD,Intel,UHD Graphics 620,1.6,Windows,884.0
133,Acer,Notebook,15.6,0,0,Intel,Core i3,4,256,SSD,Nvidia,GeForce MX130,2.2,Windows,572.0
134,HP,Notebook,15.6,0,0,Intel,Core i7,8,1024,HDD,Intel,HD Graphics 620,2.05,Windows,598.0
135,HP,Notebook,14.0,0,0,Intel,Core i7,8,256,SSD,Intel,UHD Graphics 620,1.63,Windows,988.0
136,Lenovo,Notebook,15.6,0,0,Intel,Celeron Dual Core,4,1024,HDD,Intel,HD Graphics 500,1.9,Others/No OS/Linux,252.36
137,Asus,Gaming,17.3,0,0,Intel,Core i5,8,128,SSD +  1TB HDD,Nvidia,GeForce GTX 1050,3.0,Windows,938.0
138,Lenovo,Notebook,15.6,0,0,Intel,Core i5,4,1024,HDD,Nvidia,GeForce 920MX,2.2,Others/No OS/Linux,499.0
139,HP,Notebook,13.3,0,1,Intel,Core i5,4,256,SSD,Intel,HD Graphics 620,1.32,Windows,699.0
140,Acer,Notebook,17.3,0,1,Intel,Core i3,4,1024,HDD,Nvidia,GeForce MX130,3.0,Windows,655.0
141,Lenovo,Notebook,14.0,0,1,Intel,Core i5,8,256,SSD,AMD,Radeon RX 550,1.75,Windows,1116.02
142,Lenovo,Gaming,15.6,0,1,Intel,Core i7,8,256,SSD,Nvidia,GeForce GTX 1050M,2.4,Others/No OS/Linux,869.0
143,Toshiba,Notebook,15.6,0,0,Intel,Core i5,4,500,HDD,Intel,HD Graphics 520,2.1,Windows,602.0
144,HP,Notebook,15.6,0,0,AMD,A6-Series 9220,4,256,SSD,AMD,Radeon R4 Graphics,1.86,Windows,369.0
145,Asus,Ultrabook,14.0,0,0,Intel,Core i7,8,256,SSD,Intel,UHD Graphics 620,1.25,Windows,1099.0
146,HP,Ultrabook,12.5,1,1,Intel,Core M,8,512,SSD,Intel,HD Graphics 515,0.97,Windows,2014.0
147,Asus,Notebook,15.6,0,0,Intel,Celeron Dual Core,4,1024,HDD,Intel,HD Graphics 500,2.0,Windows,344.0
148,MSI,Gaming,17.3,0,0,Intel,Core i7,16,256,SSD +  1TB HDD,Nvidia,GeForce GTX 1070,2.9,Windows,2029.0
149,Acer,Notebook,15.6,0,0,Intel,Core i3,4,1024,HDD,Intel,HD Graphics 520,2.1,Windows,447.0
150,Dell,Gaming,15.6,0,0,Intel,Core i7,16,512,SSD,Nvidia,GeForce GTX 1050,2.56,Windows,1249.26
151,Dell,Gaming,15.6,0,0,Intel,Core i7,8,1024,Hybrid,Nvidia,GeForce GTX 1050,2.62,Windows,899.0
152,Lenovo,Notebook,15.6,0,0,Intel,Core i5,4,128,SSD,Intel,HD Graphics 620,1.9,Windows,498.0
153,MSI,Gaming,17.3,0,0,Intel,Core i7,16,256,SSD +  1TB HDD,Nvidia,GeForce GTX 1060,2.8,Windows,1890.0
154,HP,Ultrabook,14.0,0,0,Intel,Core i5,4,256,SSD,Intel,HD Graphics 620,1.48,Windows,1082.0
155,HP,Notebook,15.6,0,0,Intel,Core i5,6,256,SSD,AMD,Radeon 520,1.91,Windows,619.0
156,Lenovo,2 in 1 Convertible,14.0,1,1,Intel,Core i3,4,256,SSD,Intel,HD Graphics 620,1.74,Windows,629.0
157,Asus,2 in 1 Convertible,13.3,1,0,Intel,Core i5,8,256,SSD,Intel,HD Graphics 620,1.1,Windows,1315.0
158,Dell,2 in 1 Convertible,15.6,1,0,Intel,Core i7,8,256,SSD,Intel,UHD Graphics 620,1.56,Windows,1049.0
159,Toshiba,Notebook,15.6,0,0,Intel,Core i3,4,500,HDD,Intel,HD Graphics 520,2.1,Windows,447.0
160,Asus,Notebook,15.6,0,0,AMD,A9-Series 9420,4,1024,HDD,AMD,Radeon R5 M420,2.03,Windows,403.0
161,Acer,Notebook,17.3,0,1,Intel,Core i5,4,256,SSD,Nvidia,GeForce MX150,3.0,Windows,805.0
162,Dell,Notebook,15.6,0,0,Intel,Core i5,8,256,SSD,AMD,Radeon 520,2.13,Windows,728.0
163,Lenovo,Gaming,15.6,0,1,Intel,Core i7,16,256,SSD,Nvidia,GeForce GTX 1050 Ti,2.5,Windows,1079.0
164,Acer,Notebook,15.6,0,0,Intel,Celeron Dual Core,4,1024,HDD,Intel,HD Graphics 500,2.1,Windows,348.0
165,MSI,Gaming,15.6,0,1,Intel,Core i7,16,256,SSD +  1TB HDD,Nvidia,GeForce GTX 1060,2.4,Windows,1799.0
166,Acer,Notebook,15.6,0,0,Intel,I n t e l,4,1024,HDD,Intel,HD Graphics 505,2.1,Windows,363.51
167,Dell,Gaming,15.6,0,0,Intel,Core i7,8,128,SSD +  1TB HDD,Nvidia,GeForce GTX 1050,2.56,Windows,1060.49
168,Acer,Notebook,17.3,0,1,Intel,Core i5,8,256,SSD,Nvidia,GeForce MX150,3.0,Windows,854.0
169,HP,Notebook,13.3,0,1,Intel,Core i5,4,500,HDD,Intel,UHD Graphics 620,1.49,Windows,754.0
170,Huawei,Ultrabook,13.0,0,1,Intel,Core i5,8,256,SSD,Intel,HD Graphics 620,1.05,Windows,1349.0
171,HP,Notebook,17.3,0,1,Intel,Core i5,6,2048,HDD,AMD,Radeon 520,2.71,Windows,699.0
172,Lenovo,Notebook,15.6,0,0,AMD,A6-Series 9220,4,500,HDD,AMD,Radeon R4 Graphics,2.2,Others/No OS/Linux,309.0
173,Toshiba,Notebook,15.6,0,0,Intel,Core i3,4,500,HDD,Intel,HD Graphics 620,2.0,Windows,489.0
174,HP,Notebook,17.3,0,0,Intel,Core i5,8,256,SSD,Nvidia,GeForce 930MX,2.5,Windows,923.0
175,Dell,Notebook,15.6,0,0,Intel,Core i3,8,1024,HDD,Intel,HD Graphics 620,2.3,Windows,459.0
176,Acer,Notebook,15.6,0,0,Intel,Core i3,4,128,SSD,Intel,HD Graphics 520,2.1,Windows,449.0
177,MSI,Gaming,18.4,0,0,Intel,Core i7,32,512,SSD +  1TB HDD,Nvidia,GTX 980 SLI,4.4,Windows,2799.0
178,Lenovo,Notebook,15.6,0,0,Intel,Core i5,8,128,SSD +  1TB HDD,AMD,R17M-M1-70,1.9,Windows,813.0
179,HP,2 in 1 Convertible,13.3,1,1,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.29,Windows,1499.0
180,Dell,Notebook,15.6,0,0,Intel,Core i7,16,256,SSD +  2TB HDD,AMD,Radeon 530,2.02,Others/No OS/Linux,1049.0
181,Dell,Ultrabook,13.3,0,0,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.23,Windows,1399.0
182,Lenovo,2 in 1 Convertible,13.9,1,1,Intel,Core i7,16,512,SSD,Intel,UHD Graphics 620,1.4,Windows,1849.0
183,Toshiba,Notebook,15.6,0,0,Intel,Core i5,8,128,SSD,Intel,HD Graphics 620,2.0,Windows,793.0
184,Xiaomi,Notebook,15.6,0,1,Intel,Core i5,8,256,SSD,Nvidia,GeForce MX150,1.95,Others/No OS/Linux,1199.0
185,Dell,Notebook,17.3,1,0,Intel,Core i7,16,512,SSD,Nvidia,GeForce 150MX,2.77,Windows,1549.0
186,Dell,Notebook,15.6,1,0,Intel,Core i7,16,512,SSD,Nvidia,GeForce GTX 1050,2.06,Windows,2397.0
187,Lenovo,Gaming,15.6,0,1,Intel,Core i5,8,256,SSD,Nvidia,GeForce GTX 1050,2.4,Others/No OS/Linux,779.0
188,Acer,Ultrabook,13.3,0,1,Intel,Core i5,8,256,SSD,Intel,HD Graphics 615,1.12,Windows,989.0
189,Dell,Notebook,17.3,0,0,Intel,Core i7,8,128,SSD +  1TB HDD,AMD,Radeon 530,2.8,Windows,1085.0
190,Lenovo,2 in 1 Convertible,14.0,1,0,Intel,Core i7,16,1024,SSD,Intel,HD Graphics 620,1.42,Windows,2824.0
191,Vero,Notebook,14.0,0,1,Intel,Celeron Dual Core,4,32,Flash Storage,Intel,HD Graphics 500,1.3,Windows,260.0
192,Xiaomi,Ultrabook,13.3,0,1,Intel,Core i5,8,256,SSD,Nvidia,GeForce MX150,1.3,Others/No OS/Linux,999.9
193,Lenovo,Notebook,17.3,0,0,Intel,Core i5,8,256,SSD,Nvidia,GeForce MX150,2.8,Others/No OS/Linux,698.0
194,Dell,2 in 1 Convertible,13.3,1,1,Intel,Core i7,8,1024,HDD,Intel,UHD Graphics 620,1.62,Windows,839.0
195,HP,Notebook,17.3,0,1,Intel,Core i5,8,1024,HDD,Nvidia,GeForce 930MX,2.5,Windows,914.0
196,Razer,Gaming,17.3,1,0,Intel,Core i7,32,1024,SSD,Nvidia,GeForce GTX 1080,3.49,Windows,6099.0
197,HP,Notebook,13.3,0,0,Intel,Core i5,8,512,SSD,Intel,UHD Graphics 620,1.49,Windows,959.0
198,HP,Gaming,17.3,0,1,Intel,Core i7,16,256,SSD +  1TB HDD,Nvidia,GeForce GTX 1050,3.35,Windows,1379.0
199,HP,Notebook,17.3,0,0,Intel,Core i7,8,256,SSD,Nvidia,GeForce 930MX ,2.5,Windows,1045.0
200,Dell,Gaming,15.6,0,1,Intel,Core i7,16,512,SSD +  1TB HDD,Nvidia,GeForce GTX 1060,2.65,Windows,1845.0
201,Lenovo,Notebook,15.6,0,0,Intel,Core i5,4,128,SSD,Intel,HD Graphics 520,2.1,Windows,493.0
202,Acer,Notebook,15.6,0,0,Intel,Core i7,8,1024,HDD,Nvidia,GeForce 940MX,2.23,Windows,742.0
203,Lenovo,Gaming,15.6,0,1,Intel,Core i7,16,512,SSD +  1TB HDD,Nvidia,GeForce GTX 1060,3.2,Windows,1749.0
204,Dell,Workstation,15.6,0,0,Intel,I n t e l,16,256,SSD +  1TB HDD,Nvidia,Quadro M1200,2.8,Windows,3055.0
205,Lenovo,Gaming,15.6,0,0,Intel,Core i7,16,512,SSD,Nvidia,GeForce GTX 1060,2.4,Others/No OS/Linux,1398.0
206,Dell,Notebook,15.6,1,0,Intel,Core i3,6,1024,HDD,Intel,HD Graphics 620,2.3,Windows,439.0
